# 32 direct numerical simulations of pressure drop across 1 metre of straight pipe
#
# The DNS simulations were conducted by Leonard Nicusan using the Lethe FEM-CFD software.
# 
# Fluid flow is fully developed and in the laminar regime (7.296 < Re < 1140.056). The columns
# represent the kinematic fluid viscosity, pipe radius, fluid velocity, reynolds number simulated
# pipe length, predicted pressure drop (via Darcy-Weisbach), measured simulated pressure drop
k,r,u,re,length,dp,dp_sim
0.7696798223257065,0.9075642377138138,3.093771383166313,7.29601110898284,0.7614838574546857,23.1277592437182,21.987312
0.736548382639885,0.4306786529719829,9.25984388589859,10.828934488230322,0.5363359556289817,294.16313137315143,279.2459
0.520533777475357,3.181753256917,1.7174988240003586,20.99636071080119,7.68260249362452,0.7064840425778354,0.672698
0.8812104398012162,1.6762103870511056,5.542829513549805,21.08678695718009,4.064777502623292,13.90734045183775,13.235863
0.4803764495253563,1.234034987539053,4.51127016544342,23.177927343852524,3.2892729273094945,11.384542565451024,10.835114
0.7169002306461334,7.475783878564834,1.114318455569446,23.24006490617317,19.97983579467252,0.1143522081491246,0.10894632
0.6242947918176651,2.137353584170341,3.8229163587093353,26.1764925428283,6.434068318103563,4.179475150738066,3.9799194
0.1454978595674038,2.463234321773053,1.2864616326987743,43.55880501238308,12.33898750502104,0.24679251019485,0.2350173
0.964203318953514,8.991406154632568,2.569771945476532,47.92736725203861,49.55745886181127,0.2451872942298611,0.23355675
0.3947344088554382,4.056219083070755,2.397903636097908,49.2808443850009,22.987798663792308,0.4602395016189827,0.43831444
0.9829151225090028,3.3430715531110766,7.928606688976288,53.93324178401794,20.734808933149388,5.578424174793383,5.312454
0.871115425825119,4.431194826960564,5.488612145185471,55.83900600061551,28.454854171242943,1.9479891937639568,1.8550644
0.9241523540019988,6.247168803215026,4.674622058868408,63.19986735200233,45.40432756420703,0.8855510106770806,0.8434372
0.0339389142766594,0.1483363124541938,7.279298067092895,63.631041566352735,1.085461317310814,89.8219496985664,85.334045
0.3680907875299454,1.3932117879390715,8.641237437725067,65.41361136151535,10.480526660660765,13.109514039325738,12.483063
0.6754887634515763,7.743204945325852,3.509690403938293,80.46396494731881,71.65063169956959,0.3163263832897901,0.30133057
0.2336466002464294,2.807395923137665,3.672767639160156,88.26075693748717,28.495032257924777,0.8710349402962845,0.8297119
0.3259568485617637,5.950325459241867,2.719893842935562,99.30304364804908,67.95182431190717,0.2003182926848681,0.19083786
0.6335436224937439,4.569517177343369,7.145911812782288,103.08166830804772,54.1688472103261,1.7345368640675456,1.6524963
0.828020561337471,8.522098970413207,6.277726888656616,129.22241874752538,126.6433178026979,0.5725855438178501,0.54563904
0.5821362757682801,5.150594907999039,7.538231015205383,133.39273258996195,79.01097186282257,1.3233334930313672,1.2611084
0.7886654257774353,6.397300839424133,8.391091406345367,136.12955340239975,100.1490962189345,1.2936228929887157,1.2328796
0.2817566940188408,3.597165232896805,6.536385178565979,166.89901615318684,69.04178390575649,1.1386259879966285,1.0854034
0.4606886732578277,6.72801570892334,5.862876057624817,171.24589556858643,132.49668367952094,0.4773470480241535,0.45506287
0.4367191796191036,8.162242925912143,8.257714900188148,308.67192545583185,289.73735259764754,0.4330450760353607,0.41319275
0.3017144936323166,9.240112644433976,5.105668872594833,312.7258153229359,332.30650244673416,0.1443391934197933,0.13772583
0.5405161541700363,9.749785250425338,9.924539268016815,358.0360210368028,401.4390464579436,0.4514596280922988,0.43084717
0.0787444933503866,7.992463755607605,2.0916508212685585,424.59968099582056,390.2637195151894,0.0206270924208095,0.019690514
0.1884189879894256,5.481900453567505,8.93101042509079,519.6812765268536,327.6167179328564,0.4479741565024361,0.4277649
0.2149555824697017,9.389310574531557,6.82559061050415,596.2868175862623,643.853044008893,0.1331409165692605,0.12715149
0.1218751981854438,4.823058831691742,9.67466789484024,765.7258101503834,424.7111725995139,0.4055050515311772,0.38739014
0.0529603580757975,7.178284358978272,4.205584973096848,1140.0559184108397,941.1192402612508,0.0345800801270324,0.033046722
