# 64 direct numerical simulations of drag acting on a 3D ellipsoidal particle
#
# The DNS simulations were conducted by Leonard Nicusan using the Lethe FEM-CFD software.
#
# There are 32 simulations in the laminar regime (0.25 < Re < 21) and 32 in the transitional
# regime (21 < Re < 548). The columns represent the ellipsoid orientation relative to fluid flow
# (radians; 0 is flat), the ellipsoid aspect ratio, the fluid reynolds number (based on particle
# Feret diameter), the drag force predicted by the Stokes drag, the Clift correlation, and the
# simulation measurement.
phi,a,k,re,cd_stokes,cd_clift,cd_sim
0.5227275474148146,1.0450756922364235,8.218637045025826,0.2543184925945685,94.36985787054232,,92.55608314476711
1.4265526041791547,1.4122360944747925,8.855270190834998,0.3189594589527995,75.24467240694557,,63.51491051436329
0.0344460124603963,1.5610753297805786,9.687367353618145,0.3222909326748161,74.46687935280956,,54.56586233050589
1.0734158831886964,1.082484006881714,5.939989224016667,0.3644733907950525,65.84842846180635,,64.68171481229656
1.5607610935185787,1.5672165658324957,7.406145791363903,0.4232205549234482,56.70802072536648,,46.46035293631422
0.1211273465144618,1.4653314650058746,6.59595022314787,0.4443124691461227,54.01603976166383,,41.89653162972646
0.2333946525669606,2.2788071632385254,9.298783931910991,0.4901301460330218,48.96658610830078,,28.86918535776692
0.9527100209278884,2.1459609270095825,8.70516792446375,0.4930314832822198,48.67843294758112,,33.76009218047643
1.1340004469160994,1.928237497806549,7.780329845011235,0.4956698587895831,48.41932502938059,,35.98312158927783
1.2511853813504163,2.630691766738892,9.815047402977944,0.5360527888924355,44.771709983241685,,30.087774579083742
1.2805220149046723,1.239309549331665,3.9509975646138193,0.6273400725078899,38.2567622438915,,35.89936964889728
0.7279768732845173,2.7635401487350464,7.952874591946602,0.694978932908993,34.53342089024558,,20.92894689877607
0.4114968534099398,1.9500617980957031,5.518395879030228,0.7067495123015336,33.958283072377185,,22.84700085593345
1.360878302683744,2.350712776184082,6.422147943973542,0.7320643487791214,32.78400326422846,,23.5621510470723
0.5922351624116906,2.2335516214370728,5.808608096361161,0.7690488269767399,31.207381323690495,,20.219693337247616
0.2955109968534579,2.7495534420013428,6.92079642790556,0.7945771763824123,30.204743747194332,,16.564185588034526
0.6748622267434345,1.372088998556137,3.358218322694302,0.8171529464202963,29.370266735421872,,25.5329571440131
0.3762475497063817,1.8570795059204104,4.392421775817872,0.8455834164853718,28.38277044239453,,19.767403613827717
0.1888034231861291,2.0764888525009155,4.126010889053346,1.0065358082355116,23.84415914826989,,15.306410243397677
0.8675679078342685,2.8667129278182983,5.078506929934026,1.1289589508763511,21.258523156550616,,13.5128271103391
1.4919377862487235,2.959932923316956,4.876560364067555,1.2139429033328175,19.770287329090387,,13.685837613347548
0.266556454094817,1.139966681599617,1.8478260008245704,1.2338463481852948,19.4513685073498,,19.97657349771162
0.7860821068578673,1.7243016362190249,2.5294121992588043,1.363401059522286,17.603037515908355,,13.945704556005303
1.0034210813613906,2.443704605102539,3.48838840508461,1.401050755438036,17.130000399233534,,11.966623191666915
1.2184105860229215,1.7734102606773376,2.2675208297222853,1.5641843174552326,15.343460314859527,,12.711948275240813
0.4811173822758459,2.592719316482544,2.970512193620205,1.745637888341916,13.748555849000423,,8.389315381712036
0.9218317291916666,1.2571793794631958,1.235890847787261,2.0344505046121992,11.796797191964524,,12.272245365628176
0.0545900520890745,2.9186030626297,2.138610365524888,2.7294388072540507,8.79301632856359,,4.858368375036694
1.4052545767336804,2.050834536552429,1.4055426745861768,2.9182102737026336,8.224218870132594,,6.934037318480213
0.5416940813556546,2.433611392974853,0.7481294790133834,6.50585616859864,3.688984105710655,,2.809489266770246
0.7600151537274963,1.6561955213546753,0.4236266371756792,7.819128336199719,3.069395841591285,,3.366265860751432
1.1146408678490665,2.5358245372772217,0.2523123423270881,20.100677706759782,1.1939895932926128,,1.39970248568533
0.5066175936277184,1.1035092771053314,0.2150578919546678,10.262439262986364,,4.30304876114593,3.8530968704957016
1.361156280525494,1.053092885762453,0.1854006706476211,11.360184211674156,,4.004668736233293,3.812856407923322
1.1358761653673015,1.4016148149967194,0.2301044481992721,12.182422599522376,,3.813850711998463,2.910336198748212
0.2888291126747329,1.72030770778656,0.2360363066792488,14.576636382675629,,3.3719936896368874,1.93003799073952
0.9621949731799356,2.058685302734375,0.2451073176264762,16.798236157695175,,3.066130835206394,1.7391474348490417
1.2063981794636862,1.768703043460846,0.193814289689064,18.25152362396368,,2.9029283134889323,1.9073807769549875
0.3335416706293865,1.4422732591629028,0.1352778252363205,21.32312899979515,,2.624815073545199,1.762506858676361
0.4654047994637029,1.824727177619934,0.1641437770724296,22.23327877748006,,2.5557622151965216,1.3978012354418097
0.983851591105,1.6857755780220032,0.1411926010847091,23.87909231887604,,2.442916793994603,1.600024403824028
0.7324422610229829,2.451817512512207,0.2007615035772323,24.42517583127185,,2.4084832409155013,1.1177809642173058
0.0167217944041423,1.2241994589567184,0.0966980894804,25.32003404689508,,2.354924535549093,1.8641883924867384
1.382560293459975,2.676215887069702,0.2104244403243065,25.436359796847874,,2.348208663499445,1.2377713654618625
0.0666353801567659,2.81915020942688,0.219691908955574,25.664579299522284,,2.335190009142265,0.8102376945040421
0.1201687021487903,2.097367525100708,0.1522430897951126,27.552876494077022,,2.2348519223062886,1.002052552736794
1.5223617073328697,2.3916432857513428,0.1691722448468208,28.27465330281438,,2.199647445352124,1.2414359576598657
1.4309892953165777,1.272621989250183,0.0846322082579136,30.0741766154066,,2.118408917024512,1.790647323145386
0.6755065192722329,2.730294704437256,0.1787876886129379,30.54231223211505,,2.0986627949436785,0.8711398729971129
